"","V1","V2","V3"
"result.1",0,0,0.157339821573398
"result.2",0,0,0.167948199109672
"result.3",0,0,0.18112141992739
"result.4",0,0,0.143435980551053
"result.5",0,0,0.680919725695845
"result.6",0,0,0.126432078559738
"result.7",0,0,0.126618122977346
"result.8",0,0,0.0934991974317817
"result.9",0,0,0.145365455287873
"result.10",0,1,0.14320193081255
"result.11",0,0,0.275792038992689
"result.12",12,61,12.5550220088035
"result.13",10,64,6.98186314921682
"result.14",0.0165365181442352,0.220486908589803,0.809830041341295
"result.15",0,0,0.0999595305544314
"result.16",0,0,0.156262585581957
"result.17",11.9868212967844,59.7833421191356,3.23985239852398
"result.18",0,0,0.132872815928484
"result.19",0,0,0.210124548011249
"result.20",0,0,0.148953301127214
"result.21",0,0,0.144421906693712
"result.22",0,0,0.281338170092705
"result.23",0,2,0.22271986970684
"result.24",12,49.0703824247356,5.24694873881204
"result.25",0,0,0.138028169014084
"result.26",0,0,0.111560226354082
"result.27",15,105.591036414566,14.9671868747499
"result.28",0,0,0.216469629025683
"result.29",0,1,0.130081300813008
"result.30",0,1,0.338611449451888
