"","V1","V2","V3"
"result.1",0,0,0.360535931790499
"result.2",0,0,0.290584415584416
"result.3",0,0,0.399593495934959
"result.4",0,0,0.281810766721044
"result.5",12,101.5004,12.3784
"result.6",12,61,12.474
"result.7",0,0,0.281803542673108
"result.8",0,0,0.161669367909238
"result.9",0,0,0.26904376012966
"result.10",0.00475435816164804,0.0253565768621233,0.457210776545166
"result.11",0,2,0.461756373937677
"result.12",0,1,0.436135812449474
"result.13",9.98237317282889,63.4797936371454,6.41788478073947
"result.14",13,100.799439551641,10.1212970376301
"result.15",0,0,0.26948051948052
"result.16",22,126,18.161038961039
"result.17",0.00452488687782804,0.0427350427350426,0.322272498743087
"result.18",0,0,0.28345498783455
"result.19",0,0,0.367455138662316
"result.20",0,1,0.299835931091058
"result.21",15,124,19.4342667299478
"result.22",0,0,0.41808596918086
"result.23",10.0070210631896,64.1243731193585,13.3901705115346
"result.24",0,0,0.286530612244898
"result.25",0,0,0.247877072381723
"result.26",0,0,0.306569343065693
"result.27",0,0,0.298616761594793
"result.28",0,0,0.314483319772172
"result.29",0,1,0.265714285714286
"result.30",0,0,0.603315810756167
