"","V1","V2","V3"
"result.1",0,0,0.240357287860333
"result.2",0,0,0.343241042345277
"result.3",0,0.0093992644053944,0.411932979158153
"result.4",0,0,0.249088699878493
"result.5",5,34.3405448717949,3.42227564102564
"result.6",0,0,0.273584905660377
"result.7",0,0,0.267879288962381
"result.8",0,0,0.145522388059701
"result.9",0,0,0.277321281840592
"result.10",0,0,0.320947325438955
"result.11",0,0,0.45103616416091
"result.12",11.4686346863469,64,13.8878228782288
"result.13",0,0,0.351373513735137
"result.14",0.0171149144254277,0.322738386308068,0.623879380603097
"result.15",0,0,0.250406504065041
"result.16",22,126,18.4778481012658
"result.17",0,1.07547939616483,0.237046103631171
"result.18",0,0,0.275010125556906
"result.19",5,45.5862068965517,7.69206094627105
"result.20",0,0,0.312678353037097
"result.21",0,0,0.284433577832111
"result.22",0.0306345733041577,0.560722100656456,0.420131291028446
"result.23",0,0,0.419099249374479
"result.24",0,0,0.235868239121594
"result.25",0,0,0.269763651181744
"result.26",0,0,0.217462260301918
"result.27",0,0,0.219283970707893
"result.28",0,0,0.334281072298944
"result.29",0,0,0.290060851926978
"result.30",0,0,0.615135572642655
