"","V1","V2","V3"
"result.1",0,0,1.27471636952998
"result.2",0,0,1.32628152969894
"result.3",0,0,1.45476673427992
"result.4",0,0,1.08110300081103
"result.5",0,0,2.3071948261924
"result.6",0,0,1.18660677827685
"result.7",0,0,0.94780106863954
"result.8",0,0,0.548413679439637
"result.9",0,0.0217664294683968,0.82628714943491
"result.10",0,0,1.09923045767517
"result.11",0,0,1.73414141414141
"result.12",0,0,1.3928283642224
"result.13",0,0,1.19855305466238
"result.14",15,106.94,15.1296
"result.15",0,0,1.26877791311409
"result.16",0,0,1.04261363636364
"result.17",0,0,1.05110384300899
"result.18",0.00708382526564373,0.0891381345926815,1.11806375442739
"result.19",0,0.281632653061224,1.15551020408163
"result.20",0,0,1.16748166259169
"result.21",0.00916030534351147,0.167430025445292,1.12773536895674
"result.22",0,0,1.5074318744839
"result.23",0,0,1.73839321760194
"result.24",0,0,1.22876879317351
"result.25",0,0,1.05891980360065
"result.26",0,0,0.932311621966795
"result.27",0,0,1.14034369885434
"result.28",5.47948073701843,68.8421273031826,8.54103852596315
"result.29",0,1,1.84797711483449
"result.30",0,0,1.98543099959531
