"","V1","V2","V3"
"result.1",0,0,0.323505654281099
"result.2",0,0,0.314519427402863
"result.3",0,0,0.410569105691057
"result.4",0,0,0.333738355609559
"result.5",0,0,0.921234267153877
"result.6",0,0,0.256221950224398
"result.7",0,0,0.275539275539276
"result.8",0,0,0.165461847389558
"result.9",0,1,0.245521172638437
"result.10",13,98.7917501001202,12.0400480576692
"result.11",0,0,0.374691865242399
"result.12",0,0,0.3640081799591
"result.13",0,0,0.308757637474542
"result.14",0,0,0.657096643752527
"result.15",0,0,0.264006449012495
"result.16",0.0134589502018843,0.128532974427994,0.476446837146702
"result.17",0,0,0.243122977346278
"result.18",0,0,0.347120843471208
"result.19",0,0.473748473748474,0.300773300773301
"result.20",0,0,0.37875101378751
"result.21",15,124,19.3050938337802
"result.22",0,0,0.438639125151883
"result.23",0,0,0.443948009748172
"result.24",0,0,0.305398871877518
"result.25",0,1,0.276829268292683
"result.26",0,0,0.288422751109318
"result.27",5,41.3124749298035,3.40633774568793
"result.28",0.0091872791519434,0.0869257950530027,0.340636042402827
"result.29",0,0,0.289878542510121
"result.30",0.00837988826815661,0.143854748603354,0.604748603351955
