"","V1","V2","V3"
"result.1",0,0.00253807106598991,0.529610829103215
"result.2",0,1.08189836203276,0.479210415791684
"result.3",0,0.429957805907173,0.368354430379747
"result.4",0,1.01127819548872,0.45906432748538
"result.5",0,0.381210855949896,0.283089770354906
"result.6",0,1.50448526270824,0.34771465185818
"result.7",0,1.03322119428091,0.257779646761985
"result.8",0,0.139798488664987,0.248110831234257
"result.9",0,1.62521150592217,0.272842639593909
"result.10",0,0.190456257848472,0.473419840937631
"result.11",0,0.0591216216216216,0.491554054054054
"result.12",0,0.218736752861382,0.306061890631624
"result.13",0,0.813311008790289,0.564671410632064
"result.14",0,1.8498727735369,0.382527565733673
"result.15",0,0.0179257362355953,0.303883909517712
"result.16",0,2.13363863447127,0.30391340549542
"result.17",0,0.906986531986532,0.285353535353535
"result.18",0,0.814987298899238,0.366215071972904
"result.19",0,2.1144193960017,0.465333900467886
"result.20",0,2.55067567567568,0.347550675675676
"result.21",0,1.01016518424396,0.435408725116476
"result.22",0,0.352469396369776,0.488391726466864
"result.23",0,0.0216486261448793,0.620732722731058
"result.24",0,2.01413881748072,0.29777206512425
"result.25",0,0.00886824324324321,0.263091216216216
"result.26",0,1.91374207188161,0.210993657505285
"result.27",0,1.08229426433915,0.311720698254364
"result.28",0,0.715762273901809,0.324289405684754
"result.29",0,1.06185121107266,0.366349480968858
"result.30",0,0.347381864623244,0.244359301830566
"result.31",0,0.714762301918265,0.383653044203503
"result.32",0,1.18369098712446,0.172961373390558
"result.33",0,1.07689075630252,0.216806722689076
"result.34",0,1.30701385972281,0.260814783704326
"result.35",0,1.16050420168067,0.507563025210084
"result.36",0,1.01787234042553,0.328085106382979
"result.37",0,2.32238805970149,0.400852878464819
"result.38",0,0.0348739495798319,0.415126050420168
"result.39",0,0.969773299748111,0.387489504617968
"result.40",0,3.03578947368421,0.217684210526316
"result.41",0,0.398979157805189,0.273075287111867
"result.42",0,1.19459922846121,0.341620231461637
"result.43",0,0.892119679730299,0.3472397808681
"result.44",0,0.459366980325064,0.293413173652695
"result.45",0,1.4381974248927,0.383261802575107
"result.46",0,0.048284625158831,0.289284201609487
"result.47",0,0.270213657310431,0.281524926686217
"result.48",0,1.00856531049251,0.39914346895075
"result.49",0,0.255212677231026,0.243119266055046
"result.50",0,0.592110784725137,0.335291649181704
