"","V1","V2"
"result.1",18.8804347826087,15.5
"result.2",12.8181818181818,6.90909090909091
"result.3",17.2818181818182,8.07272727272727
"result.4",15.7889908256881,5.74311926605505
"result.5",15.7424242424242,5.46969696969697
"result.6",21.2954545454545,15.5454545454546
"result.7",18.9347826086957,15.3913043478261
"result.8",11.052380952381,8.35714285714286
"result.9",14.7066666666667,5.89333333333333
"result.10",11.0434782608696,7.76086956521739
"result.11",11,7.86454183266932
"result.12",17.1089108910891,8.54455445544554
"result.13",15.7183098591549,5.86619718309859
"result.14",11.2484472049689,10.1925465838509
"result.15",16.5555555555556,8.56666666666666
"result.16",18.8205128205128,15.5384615384615
"result.17",15.5108695652174,5.3804347826087
"result.18",10.2397260273973,9.61643835616438
"result.19",18.3068181818182,15.2386363636364
"result.20",13.7184466019417,7.47572815533981
"result.21",5,11.8612565445026
"result.22",15.9811320754717,5.68867924528302
"result.23",9.10358565737052,8.14342629482072
"result.24",15.4876033057851,5.60330578512397
"result.25",15.7682926829268,5.47560975609756
"result.26",16.566265060241,8.40963855421687
"result.27",15.7558139534884,6.02325581395349
"result.28",13.9788732394366,6.63380281690141
"result.29",11,8.51126126126126
"result.30",12.303664921466,7.45549738219895
"result.31",11.0054644808743,9.15027322404372
"result.32",18.5714285714286,15.6547619047619
"result.33",22.7,15.625
"result.34",17.0825688073394,8.60550458715597
"result.35",15.7248322147651,5.51677852348993
"result.36",11.0161290322581,8.04435483870968
"result.37",15.8235294117647,5.30588235294118
"result.38",15.08,6.09
"result.39",15.983606557377,5.36885245901639
"result.40",15.7843137254902,5.09803921568627
"result.41",14.2857142857143,4.81954887218045
"result.42",14.2139534883721,6.82790697674419
"result.43",6.0391061452514,8.84357541899441
"result.44",15.6746031746032,5.63492063492063
"result.45",11.0054644808743,7.75409836065574
"result.46",15.7538461538462,5.78461538461538
"result.47",15.6761904761905,5.7047619047619
"result.48",14.1190476190476,6.96190476190476
"result.49",6.20487804878049,10.009756097561
"result.50",15.6506024096386,5.19277108433735
