"","V1","V2"
"result.1",24,10.8267973856209
"result.2",24.0119047619048,11.1875
"result.3",24.6442307692308,7.24038461538461
"result.4",23.8942307692308,19.5961538461538
"result.5",24.4814814814815,8.49074074074074
"result.6",24.4525139664804,11.6061452513966
"result.7",25.037037037037,7.61111111111111
"result.8",24.155737704918,9.86885245901639
"result.9",24.1454005934718,10.0415430267062
"result.10",24.0301204819277,12.1024096385542
"result.11",24,10.1896551724138
"result.12",25.7555555555556,7.54444444444444
"result.13",24.008174386921,11.0790190735695
"result.14",24.2057613168724,10.7119341563786
"result.15",24,11.0077720207254
"result.16",24.0436781609195,11.2689655172414
"result.17",24.5757575757576,7.58333333333333
"result.18",24.984496124031,8.51937984496124
"result.19",22.5978260869565,12.8913043478261
"result.20",25.5193798449612,7.87596899224806
"result.21",24.5107913669065,9.18705035971223
"result.22",24.0026385224274,10.4960422163588
"result.23",24,11.7138888888889
"result.24",24.0023866348449,10.2482100238663
"result.25",24.301724137931,7.43965517241379
"result.26",23.9952380952381,12.2142857142857
"result.27",24,11.0022935779817
"result.28",26.3734939759036,19.9759036144578
"result.29",24.0025445292621,10.64631043257
"result.30",24.16,7.18
"result.31",20.2452830188679,18.2012578616352
"result.32",23.8372093023256,7.30232558139535
"result.33",24.5534591194969,9.10691823899371
"result.34",24.0025188916877,10.8740554156171
"result.35",22,10.1372549019608
"result.36",24,11.8911392405063
"result.37",24.2019230769231,7.00961538461538
"result.38",23.2040816326531,12.8979591836735
"result.39",24.0683760683761,10.1082621082621
"result.40",24,11.5544554455446
"result.41",25.0091743119266,6.94495412844037
"result.42",24.0412844036697,9.81651376146789
"result.43",24.5316455696202,19.6582278481012
"result.44",25.0113636363636,19.5795454545455
"result.45",22,9.25252525252525
"result.46",24.2733333333333,10.06
"result.47",25.2230215827338,7.48201438848921
"result.48",24.0068965517241,10.0379310344828
"result.49",24.0168918918919,10.1655405405405
"result.50",19.0133779264214,18.2107023411371
